unix_time,vhcl_id,stdr_ymd,stdr_hm,stdr_ss,lon,lat,alt,spd,allowed_spd,agl,slp,vhcl_typ,from_inter_id,to_inter_id,dist2to_inter,turn_typ2to_inter,edge_grp_id,edge_id,lane_id,seg_id,nxt_inter_id,dist2nxt_inter,turn_typ2nxt_inter,nxt_inter_sig_st,nxt_inter_phs_no,que_all,que_200,que_200_500,que_500,tl
1660076099,passenger_1660075260_1660075980_12,20220810,514,59,126.75657055452557,37.49719644267128,0.0,0.0,19.883976000000004,282.2924041440222,0.0,1,SN20220622162449J,201305,337.26,,SN20220622162449J_201305,477649538_0101_02,477649538_0101_02_2,477649538_0101_02_2_001,,,,,,1,2,1,2,1.0
1660075992,passenger_1660075260_1660075980_13,20220810,513,12,126.75665433965438,37.50539168231413,0.0,0.0,18.266986000000003,122.65937473069216,0.0,1,,,,,,,477754785_0201_01_0,,,,,,,1,2,2,2,1.0
1660076099,passenger_1660075260_1660075980_13,20220810,514,59,126.75745393608436,37.503075309775326,0.0,0.0,15.220662000000004,193.06451417037377,0.0,1,cluster_204796_205202,204920,80.0,,cluster_204796_205202_204920,477744474_02,477744474_02_0,477744474_02_0_005,,,,,,1,1,2,2,1.0
1660075993,passenger_1660075260_1660075980_14,20220810,513,13,126.76218297764092,37.50473672072401,0.0,0.0,13.949727,99.79670714286893,0.0,1,,,,,,,477715088_0101_02_0,,,,,,,1,2,2,2,1.0
1660076099,passenger_1660075260_1660075980_14,20220810,514,59,126.7626236375375,37.50474366212503,0.0,0.0,13.949727,99.68411363973576,0.0,1,,,,,,,477715088_0101_02_2,,,,,,,1,2,2,2,1.0
1660075994,passenger_1660075260_1660075980_15,20220810,513,14,126.7618958490522,37.49657517548921,0.0,0.0,15.449756,281.6961129524858,0.0,1,,,,,,,477604809_02_0,,,,,,,1,2,2,2,1.0
1660076099,passenger_1660075260_1660075980_15,20220810,514,59,126.76170475756152,37.49660183784514,0.0,0.0,15.449756,281.29570221199845,0.0,1,201329,201300,23.7,,201329_201300,477604809_02,477604809_02_0,477604809_02_0_001,,,,,,1,1,2,2,1.0
1660075994,passenger_1660075260_1660075980_16,20220810,513,14,126.76274269750918,37.49901127317237,0.0,0.0,12.988539,11.968914714842832,0.0,1,,,,,,,477649561_01_02_0,,,,,,,1,2,2,2,1.0
1660076099,passenger_1660075260_1660075980_16,20220810,514,59,126.76276811546543,37.49912588622482,0.0,0.0,9.154629,10.451824665929294,0.0,1,,,,,,,:203038_5_0,,,,,,,1,2,2,2,1.0
1660075995,passenger_1660075260_1660075980_17,20220810,513,15,126.77146049307947,37.50381581457602,0.0,0.0,16.391611,281.7245376674481,0.0,1,,,,,,,477706931_01_02_0,,,,,,,1,2,2,2,1.0
1660076099,passenger_1660075260_1660075980_17,20220810,514,59,126.76997953233128,37.50390477762112,0.0,0.0,16.391611,280.90439209790986,0.0,1,SN20220622145059F,204822,146.66,,SN20220622145059F_204822,477714892_01,477714892_01_4,477714892_01_4_002,,,,,,1,1,2,2,1.0
1660075996,passenger_1660075260_1660075980_18,20220810,513,16,126.7588319745232,37.500177320928245,0.0,0.0,13.385793,190.1953461386751,0.0,1,,,,,,,477672544_02_0,,,,,,,1,2,2,2,1.0
1660076099,passenger_1660075260_1660075980_18,20220810,514,59,126.7573892447223,37.50171494812297,0.0,0.0047166926132552,18.734328,13.479162917961483,0.0,1,201305,204920,100.26,,201305_204920,:202848_6,:202848_6_2,:202848_6_2_001,,,,,,1,1,2,2,0.9997482326233824
1660075982,passenger_1660075260_1660075980_2,20220810,513,2,126.75484611542343,37.50573508765882,0.0,0.0,10.941153,90.33971346357848,0.0,1,,,,,,,477744390_01_0,,,,,,,1,2,2,2,1.0
1660076099,passenger_1660075260_1660075980_2,20220810,514,59,126.7625300210696,37.504696281745225,0.0,0.0,10.941153,99.68411363973576,0.0,1,,,,,,,477715088_0101_02_0,,,,,,,1,2,2,2,1.0
